Name,iso_code,genus,family
Mixtec (Coatzospan),miz,Mixtecan,Oto-Manguean
Mixtec (San Juan Colorado),mjc,Mixtecan,Oto-Manguean
Mixtec (San Miguel el Grande),mig,Mixtecan,Oto-Manguean
Mixtec (Silacayoapan),mks,Mixtecan,Oto-Manguean
Muyuw,myw,Oceanic,Austronesian
Naga Pidgin,nag,Creoles and Pidgins,other
Nahuatl (Huauchinango),NA,Aztecan,Uto-Aztecan
Nahuatl (Milpa Alta),NA,Aztecan,Uto-Aztecan
Nahuatl (Pajapan),nhp,Aztecan,Uto-Aztecan
Nahuatl (Xalitla),ngu,Aztecan,Uto-Aztecan
Nanumea,tvl,Oceanic,Austronesian
Naskapi,nsk,Algonquian,Algic
Nateni,ntm,Northern-Central Gur,Niger-Congo
Ndogo,ndz,Ubangi,Niger-Congo
Nederlandse Gebarentaal,dse,Sign Languages,other
Negidal,neg,Tungusic,Altaic
New Zealand Sign Language,nzs,Sign Languages,other
Ngarluma,nrl,Western Pama-Nyungan,Pama-Nyungan
Barí,mot,Motilon,Chibchan
Nihon Shuwa (Japanese Sign Language),jsl,Sign Languages,other
Nitinaht,dtd,Southern Wakashan,Wakashan
Niuafo'ou,num,Oceanic,Austronesian
Nukak,mbr,Cacua-Nukak,Cacua-Nukak
Nyungar,nys,Western Pama-Nyungan,Pama-Nyungan
Onondaga,ono,Northern Iroquoian,Iroquoian
Oriya (Kotia),ort,Indic,Indo-European
Orokolo,oro,Eleman Proper,Eleman
Otomí (Santiago Mexquititlan),otq,Otomian,Oto-Manguean
Pengo,peg,South-Central Dravidian,Dravidian
Piratapuyo,pir,Tucanoan,Tucanoan
Playero,gob,Guahiban,Guahiban
Popoloca (San Vicente Coyotepec),pbf,Popolocan,Oto-Manguean
Potawatomi,pot,Algonquian,Algic
Powhatan,pim,Algonquian,Algic
Puinave,pui,Puinave,Puinave
Quechua (Ancash),qxa,Quechuan,Quechuan
Quechua (Cajamarca),qvc,Quechuan,Quechuan
Rengao,ren,Bahnaric,Austro-Asiatic
Rennellese,mnv,Oceanic,Austronesian
Bole,bol,West Chadic,Afro-Asiatic
Piapoco,pio,Inland Northern Arawakan,Arawakan
Moca,moy,North Omotic,Afro-Asiatic
Sherdukpen,sdp,Western Arunachal,Sino-Tibetan
Siriano,sri,Tucanoan,Tucanoan
Slavey,xsl,Athapaskan,Na-Dene
Songe,sop,Bantoid,Niger-Congo
Sorbian (Lower),dsb,Slavic,Indo-European
South Korean Sign Language,kvk,Sign Languages,other
Svenska Teckenspråket,swl,Sign Languages,other
Tabassaran,tab,Lezgic,Nakh-Daghestanian
Taiwanese Sign Language (Ziran Shouyu),tss,Sign Languages,other
Talysh (Azerbaijan),tly,Iranian,Indo-European
Tanaina,tfn,Athapaskan,Na-Dene
Tanana (Lower),taa,Athapaskan,Na-Dene
Tanzania Sign Language,tza,Sign Languages,other
Tapieté,tpj,Tupi-Guaraní,Tupian
Tasmanian (Oyster Bay to Pitwater),NA,Tasmanian,Tasmanian
Tat (Muslim),ttt,Iranian,Indo-European
Tatuyo,tav,Tucanoan,Tucanoan
Tewa (Rio Grande),tew,Kiowa-Tanoan,Kiowa-Tanoan
Tewa (San Juan Pueblo),tew,Kiowa-Tanoan,Kiowa-Tanoan
Thai Sign Language,tsq,Sign Languages,other
Tigré (Beni Amer),tig,Semitic,Afro-Asiatic
Tiwa (Southern),tix,Kiowa-Tanoan,Kiowa-Tanoan
Toda,tcx,Southern Dravidian,Dravidian
Tofa,kim,Turkic,Altaic
Totonac (Sierra),tos,Totonacan,Totonacan
Trique (Chicahuaxtla),trs,Mixtecan,Oto-Manguean
Tubar,tbu,Tubar,Uto-Aztecan
Türk Isaret Dili,tsm,Sign Languages,other
